"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Honda Bikes Details","1","0","Display all bikes from search results","0"
"0","","0","Honda Bikes Details","1","0","User searches for upcoming Honda bikes","0"
"0","","0","Used Cars details","1","0","Searching for Used Cars in Chennai","0"
"0","","0","Used Cars details","1","0","No Search Results Found","0"
"0","","0","Validate Google login flow","1","0","Validate email error message","0"
"0","","0","Validate Google login flow","1","0","User logins through Google his/her Google Account","0"
"0","","0","Honda Bikes Details","1","0","Display Honda bikes under 4 lacs","0"
"0","","0","Honda Bikes Details","1","0","User launches ZigWheels homepage","0"
"0","","0","Validate Google login flow","1","0","Navigate to Google login window","0"
"0","","0","Used Cars details","1","0","Filtering Popular Models","0"
