"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1498","Display all bikes from search results","","Fri Aug 29 18:02:43 IST 2025","passed","Fri Aug 29 18:02:45 IST 2025","","Honda Bikes Details","Display all bikes from search results",""
"","5735","User searches for upcoming Honda bikes","","Fri Aug 29 18:02:37 IST 2025","passed","Fri Aug 29 18:02:43 IST 2025","","Honda Bikes Details","User searches for upcoming Honda bikes",""
"","10440","Searching for Used Cars in Chennai","","Fri Aug 29 18:02:55 IST 2025","passed","Fri Aug 29 18:03:06 IST 2025","","Used Cars details","Searching for Used Cars in Chennai",""
"","7","No Search Results Found","","Fri Aug 29 18:03:06 IST 2025","passed","Fri Aug 29 18:03:06 IST 2025","","Used Cars details","No Search Results Found",""
"","4648","Validate email error message","","Fri Aug 29 18:02:50 IST 2025","passed","Fri Aug 29 18:02:55 IST 2025","","Validate Google login flow","Validate email error message",""
"","409","User logins through Google his/her Google Account","","Fri Aug 29 18:02:50 IST 2025","passed","Fri Aug 29 18:02:50 IST 2025","","Validate Google login flow","User logins through Google his/her Google Account",""
"","908","Display Honda bikes under 4 lacs","","Fri Aug 29 18:02:45 IST 2025","passed","Fri Aug 29 18:02:46 IST 2025","","Honda Bikes Details","Display Honda bikes under 4 lacs",""
"","11735","User launches ZigWheels homepage","","Fri Aug 29 18:02:26 IST 2025","passed","Fri Aug 29 18:02:37 IST 2025","","Honda Bikes Details","User launches ZigWheels homepage",""
"","4229","Navigate to Google login window","","Fri Aug 29 18:02:46 IST 2025","passed","Fri Aug 29 18:02:50 IST 2025","","Validate Google login flow","Navigate to Google login window",""
"","735","Filtering Popular Models","","Fri Aug 29 18:03:06 IST 2025","passed","Fri Aug 29 18:03:06 IST 2025","","Used Cars details","Filtering Popular Models",""
